group,att,inter,likeable,PI,image_path,label,label_num,description_phi4
537,3.0,3.0,2.3,1.6,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/537 - 5453298306855209581 Cropped.jpg,Bottom33Pct,0.0,"A person seeing the image might think and feel that the vehicle is modern, well-designed, and likely to be comfortable and safe to drive. The low-level features such as the clear headlights, the grille, and the clean lines of the bodywork contribute to a sense of sophistication and attention to detail. The high-level features, such as the overall shape of the vehicle, the proportion of the windows, and the positioning of the wheels, suggest a spacious and practical design suitable for family use or long commutes. The vehicle's color and the lighting in the image also give a sense of reliability and durability."
061,4.0,4.0,4.81818181818182,3.54545454545455,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/061 - 3815146788304895523.jpeg,Mid33Pct,1.0,"The image is likely to evoke a sense of modernity and sophistication, as it showcases two high-end cars, a white BMW and a blue Mercedes-Benz, which are both luxury brands. The cars are positioned in front of a dark, textured background that suggests a high-end showroom or a similar setting. The clean lines and sleek design of the cars, along with the contrasting colors, are likely to make them appear stylish and desirable. The low-level features, such as the clear visibility of the cars' exteriors, contribute to the high-level features like the perception of luxury and status. A person seeing the image might think about the performance, comfort, and prestige associated with owning such vehicles, and they might feel a sense of aspiration or admiration for the cars."
037,3.2,4.1,3.9,3.2,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/037 - 1004193076158991423.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of admiration for the vehicle's design and aesthetics. The low-level features such as the vehicle's sleek body, shiny exterior, and stylish rims contribute to a feeling of modernity and sophistication. The high-level features like the car's overall shape, which suggests a sense of luxury and performance, might make a person feel impressed and possibly desire to own or drive such a vehicle. The natural and serene background could also evoke feelings of calmness and appreciation for the environment, contrasting with the modernity of the car."
276,4.0,4.4,4.6,3.9,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/276 - 11544369448984292633.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of sophistication and modernity due to the high-level features of the car, such as its sleek design, the brand's reputation, and the implied status associated with the vehicle. The low-level features, like the car's condition, the quality of the lighting, and the clarity of the image, contribute to a feeling of high quality and professionalism, suggesting that the image is part of a well-produced advertisement or review."
344,2.90909090909091,2.54545454545455,3.09090909090909,2.54545454545455,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/344 - 10010203622617972849.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of admiration for the vehicle's design and modern aesthetics. The low-level features such as the sleek body, the shiny chrome grille, and the stylish alloy wheels contribute to a perception of luxury and high performance. The high-level features like the brand's reputation for quality and the vehicle's spacious interior add to the feeling of sophistication and comfort. Overall, the image might evoke feelings of aspiration or desire for a high-end, reliable, and stylish vehicle."
368,4.8,3.2,4.5,3.5,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/368 - 17309743150216683581.jpeg,Mid33Pct,1.0,"At a low level, the image features a blue SUV with a sleek design, modern headlights, and a prominent rear spoiler. The low-level features such as the color, shape, and design elements of the car may evoke feelings of curiosity, interest, and admiration for the vehicle's aesthetics. At a high level, the image may evoke feelings of luxury, sophistication, and status due to the SUV's upscale appearance and the implied high performance and advanced technology. The setting of the image, which appears to be a tunnel or a dimly lit area, may also add a sense of mystery or intrigue to the vehicle's presentation."
493,4.0,3.88888888888889,3.22222222222222,2.88888888888889,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/493 - 10058444188496117530.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of luxury, power, and sophistication. The low-level features such as the rugged design of the truck, the shiny metallic finish, and the large tires suggest durability and high performance. The high-level features, including the man's formal attire and confident pose, convey a sense of status and success. The combination of these elements might evoke feelings of admiration for the vehicle's capabilities and the man's association with wealth and success."
114,4.63636363636364,4.54545454545455,4.63636363636364,3.72727272727273,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/114 - 6168756653075224219 Cropped.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of confidence and style. The low-level features such as the sleek, modern design of the car's body, the stylish taillights, and the sporty rims contribute to this perception. The high-level features like the car's dynamic stance, the sense of motion captured by the blurred background, and the overall aesthetic appeal of the vehicle also play a role in evoking these feelings. The car's design suggests it is a high-performance model, which might also instill a feeling of power and luxury."
411,3.2,3.6,4.8,3.7,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/411 - 5536724834896531462 Cropped.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of awe and admiration for the luxury and power of the Land Rover Defender. The low-level features, such as the detailed design of the vehicle, the high-quality materials, and the sophisticated technology, contribute to a perception of the vehicle as a high-end, reliable, and advanced piece of machinery. The high-level features, such as the ruggedness and off-road capabilities, evoke feelings of adventure and excitement, suggesting that the vehicle is not only a mode of transportation but also a tool for exploration and conquering challenging terrains. The combination of these features might also evoke a sense of pride and aspiration, as owning or driving such a vehicle could be seen as a status symbol."
199,4.2,4.1,4.6,4.1,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/199 - 7814045745335021158 Cropped.jpeg,Top33Pct,2.0,"A person seeing this image might think and feel a sense of excitement and adventure due to the rugged, off-road capable vehicle set against a desert-like environment. The low-level features such as the vehicle's design, which includes raised suspension and sturdy tires, suggest that it is built for tough conditions and capable of handling rough terrain. The high-level features, like the vehicle's dynamic stance and aggressive styling, convey a sense of power and performance. The clear sky and the vast, open space might evoke feelings of freedom and the thrill of exploring the unknown. Overall, the image might make one feel optimistic about the vehicle's capabilities and the experiences it could offer."
166,4.3,3.7,4.2,3.2,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/166 - 10057947461746346536.jpeg,Mid33Pct,1.0,"The image features a white SUV, possibly a Subaru, driving on a road with a blurred background of trees and buildings, indicating motion. The low-level features such as the color, make, and model of the car, as well as the motion blur, suggest a sense of speed and movement. The high-level features, such as the choice of a road trip or leisure time, could evoke feelings of excitement, adventure, or freedom. The image might also evoke a sense of modernity and technology due to the design of the car."
057,2.45454545454545,3.0,3.54545454545455,2.90909090909091,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/057 - 11769064365720603506.jpeg,Bottom33Pct,0.0,"At a low level, the image features a green-colored SUV parked in an indoor setting, likely a showroom or a similar environment. The vehicle's low-profile design, sleek lines, and modern aesthetic would likely evoke a sense of sophistication and contemporary style. The clean, uncluttered background and the neutral color palette of the walls would further enhance the vehicle's appeal, emphasizing its design and features. At a high level, the image could represent luxury, innovation, and a forward-thinking approach to automotive design. The SUV's sleek, aerodynamic shape and the use of vibrant color could also give viewers a sense of excitement and aspiration, as it suggests a vehicle that is both stylish and performance-oriented. Overall, the image could evoke a sense of admiration and desire for the vehicle, as it represents a blend of luxury, modernity, and cutting-edge design."
152,1.7,2.1,2.0,2.2,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/152 - 2812553448032216094.jpeg,Bottom33Pct,0.0,"I'm sorry, but I cannot provide an analysis of emotions or thoughts that a person might have in response to the image."
292,4.4,4.4,4.5,3.9,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/292 - 15761920725600940907.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of appreciation for the design and aesthetics of the vehicle. The low-level features such as the clean lines, the modern headlight design, and the sleek bodywork contribute to a feeling of sophistication and contemporary style. The high-level features, like the overall shape and the positioning of the wheels, might evoke a sense of stability and robustness, suggesting that the vehicle is designed for performance and comfort. The image could also evoke feelings of excitement and desire, as the vehicle is presented in a dynamic, motion-filled environment, which highlights its capabilities and appeal as a mode of transportation."
096,3.63636363636364,4.0,4.72727272727273,2.90909090909091,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/096 - 1166005799772711115.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of luxury, performance, and style. The low-level features such as the sleek, aerodynamic design, the glossy red paint, and the black rims contribute to a feeling of modernity and sophistication. The high-level features like the convertible top and the luxurious white leather seats suggest a sense of freedom and exclusivity. The overall impression is one of a high-end sports car designed for an elite market."
507,3.45454545454545,3.90909090909091,4.45454545454545,4.36363636363636,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/507 - 7989271727021150719 Cropped.jpg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of admiration for the car's design, which is a combination of luxury and practicality. The low-level features such as the sleek body, the distinctive taillights, and the stylish wheels contribute to the car's modern and sophisticated appearance. The high-level features, including the overall shape of the car and the positioning of the windows, suggest a focus on both aesthetics and functionality, possibly indicating that the car is designed for both city driving and longer journeys. The car's placement on the beach might also evoke feelings of freedom, adventure, and the joy of a relaxed lifestyle, as it contrasts with the everyday urban environment."
130,3.45454545454545,3.54545454545455,4.0,4.0,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/130 - 10125147687684934387.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of admiration or desire for the white SUV due to its high-level features such as its sleek design, brand prestige, and the implied comfort and luxury it offers. The low-level features, such as the large front grille, stylish headlights, and modern alloy wheels, contribute to the vehicle's overall aesthetic appeal and may evoke feelings of excitement or aspiration for owning such a vehicle."
084,3.4,4.1,4.6,2.8,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/084 - 16782773517535874014.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of modernity, sophistication, and performance. The low-level features such as the sleek, aerodynamic design, the stylish alloy wheels, and the matte black finish on the roof contribute to a sense of luxury and high quality. The high-level features, including the futuristic-looking headlights and the overall sporty aesthetic, might evoke feelings of excitement and a desire for adventure. The car's design suggests it is a high-performance vehicle, which could make a person feel that it is a symbol of status and success."
like4,4.9,5.6,5.3,4.9,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/named_images/like/likeable (4).png,Top33Pct,2.0,"At the low level, the person might think and feel impressed by the car's sleek and modern design, with its shiny exterior and aerodynamic shape. They might also feel a sense of curiosity or desire to know more about the car's features and performance. At the high level, the person might think and feel a sense of freedom and excitement, as the car is driving through a beautiful and open landscape. They might also feel a sense of adventure and anticipation, as the car is moving forward towards new and unknown places."
083,2.5,2.8,3.4,3.0,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/083 - 13656438481030578452.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of sophistication and modernity due to the sleek design and the high-end features of the Chevrolet Equinox. The dark color and the chrome accents on the grille, headlights, and wheels give it a luxurious and stylish appearance. The spacious interior, indicated by the large windows and the overall shape of the vehicle, would convey a sense of comfort and practicality. The high-level features such as the advanced technology and safety features, which are not visible in the image, would contribute to a feeling of security and confidence in the vehicle's performance and reliability. The professional presentation of the car in a well-lit, clean space could also evoke feelings of trust and quality associated with the brand."
158,3.2,3.3,4.3,3.3,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/158 - 16353695173573057896.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of excitement or admiration for the car, given its vibrant red color and sporty appearance. The low-level features such as the brand logo, the design of the wheels, and the grille contribute to the car's sporty and premium look. High-level features like the overall design, color, and styling of the car suggest that it is a high-performance vehicle designed for drivers who appreciate a bold and aggressive aesthetic."
521,3.63636363636364,4.27272727272727,4.45454545454545,3.27272727272727,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/521 - 7617367477812865707 Cropped.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of admiration and excitement about the car. The low-level features such as the sleek design, the modern and stylish exterior, and the advanced lighting system would likely impress the viewer. The high-level features, such as the sense of movement and the dynamic angle of the shot, could evoke feelings of freedom and adventure. The image might also make the viewer think about the car's performance and efficiency, given the focus on the wheels and the overall sleek design."
like5,4.625,5.0,5.375,4.125,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/named_images/like/likeable (5).png,Top33Pct,2.0,"A person seeing the image might think and feel impressed by the sleek and modern design of the car. The white color and black accents give it a clean and sophisticated look, while the large wheels and sporty appearance suggest that it is a performance-oriented vehicle. The futuristic background adds to the high-tech and innovative feel of the image. Overall, the person might feel excited and intrigued by the car's design and capabilities."
557,3.6,4.6,4.4,3.2,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/557 - 10946098682476518011.jpeg,Mid33Pct,1.0,"At a low level, a person might notice the specific details such as the car's make, model, color, and the presence of a license plate. They might also appreciate the design of the wheels and the car's sleek, modern look. At a high level, the car's design and features might evoke feelings of sophistication, luxury, and modernity. The car's placement against a simple, unadorned background could also give a sense of the car's sleek lines and the idea that it is a standout, high-quality product."
548,5.27272727272727,4.81818181818182,5.45454545454545,4.63636363636364,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/548 - 536188899947581937 Cropped.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of adventure and excitement due to the rugged, off-road capable vehicle depicted in a breathtaking natural landscape. The high-level features such as the white SUV with black accents, the large grille, and the distinctive headlights contribute to the vehicle's strong, commanding presence. The low-level features like the detailed design of the wheels, the clean lines of the body, and the clear sky in the background enhance the overall aesthetic appeal and suggest a sense of luxury and performance. The image might evoke feelings of freedom, power, and the allure of exploring new and challenging terrains."
302,3.42857142857143,3.85714285714286,4.0,3.57142857142857,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/302 - 11728571668720563585.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of elegance and sophistication due to the car's sleek design and the high-quality materials used in its construction. The white color of the car can evoke feelings of cleanliness and simplicity, while the streamlined body shape and modern features might make the viewer feel that the car represents a blend of luxury and performance. The car's design could also give the viewer a sense of confidence and status, as owning such a vehicle is often associated with success and success. The overall impression of the car being a high-end, well-designed machine could lead the viewer to feel a desire to own such a car or to learn more about its features and specifications."
546,5.18181818181818,4.63636363636364,4.72727272727273,4.45454545454545,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/546 - 10539152671802357317.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of calm and tranquility due to the low-level features such as the clear blue sky, bright sunlight, and the peaceful rural setting. The high-level features, such as the presence of a man walking with cows in a field, suggest a simple, idyllic life away from the hustle and bustle of city life, which might evoke feelings of nostalgia for a simpler time or a desire for escape to a more serene environment."
228,3.6,3.9,3.9,3.7,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/228 - 11038127641349514644.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel impressed by the sleek and modern design of the Honda car, which is a high-level feature. The car's color and style could evoke a sense of sophistication and luxury. The dynamic background with bright lights and a futuristic setting might make the viewer feel excited and intrigued, as it suggests that the car is capable of high performance and is suitable for driving in various conditions. The presence of the ""Honda"" logo, a well-known brand, could instill confidence in the viewer about the quality and reliability of the car."
221,3.5,3.3,3.2,2.7,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/221 - 11645408893518223678.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel that the car is modern, stylish, and possibly eco-friendly due to the green background, which often symbolizes nature and sustainability. The sleek design of the car with its shiny exterior and clear lines suggests that it is a high-end model, which could evoke feelings of luxury and sophistication. The overall presentation of the car in the image is clean and professional, which might make the viewer feel that the car is a reliable and well-maintained vehicle."
541,3.09090909090909,3.45454545454545,4.0,3.0,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/541 - 10493801780879193325.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of admiration or appreciation for the Nissan SUV, given its sleek design and the pristine condition of the vehicle. The low-level features such as the well-maintained exterior, the clear windows, and the visible logo on the grille contribute to the overall impression of a high-quality, well-cared-for vehicle. The high-level features, such as the modern and aerodynamic design, the shiny paint job, and the visible headlights, suggest that the car is a recent model and possibly a high-end or luxury vehicle. This combination of features could evoke a feeling of aspiration or desire for the vehicle, as well as a sense of trust in the brand's reputation for producing reliable and stylish cars."
341,3.90909090909091,3.90909090909091,4.81818181818182,2.27272727272727,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/341 - 13120875028475239682.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of admiration and aspiration due to the low-level features such as the sleek design, vibrant blue color, and shiny black rims that suggest a high-performance and luxurious vehicle. The high-level features, including the iconic McLaren logo and the overall aesthetic, might evoke feelings of excitement and desire for the status and prestige associated with owning such a car."
332,4.5,3.66666666666667,4.16666666666667,4.0,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/332 - 12281432753070130568.jpeg,Mid33Pct,1.0,"At the low-level features, a person might notice the red color of the car, the chrome grille, the wheels, and the design of the body. They might also observe the blurred background, which suggests that the car is the main focus of the image. At the high-level features, a person might interpret the image as an advertisement for a car, with the car being the main subject. They might also think that the image is meant to showcase the car's design and features, and that it is intended to attract potential buyers."
interest10,4.1,4.6,4.6,4.6,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/named_images/interest/interest (10).png,Top33Pct,2.0,"A person seeing the image might think and feel a sense of excitement and anticipation due to the sleek design and modern features of the SUV. The low-level features such as the SUV's color, shape, and the wheels might evoke feelings of luxury and high performance. The high-level features, such as the brand and the setting, could make the person think about the SUV's reliability, safety, and suitability for adventurous outdoor activities. The image might also make the person feel a sense of aspiration or desire to own such a vehicle."
046,5.0,5.09090909090909,5.63636363636364,5.45454545454545,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/046 - 10023554171932909943.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of excitement and admiration for the car. The low-level features such as the blue color of the car, the sleek design of the headlights, and the water dripping from the car's surface due to its motion contribute to this feeling. The high-level features, such as the luxurious and modern design of the car, the brand prestige associated with Audi, and the sense of power and speed conveyed by the car driving through the water, also play a role in evoking these emotions. Overall, the image could make a person feel inspired and intrigued by the car's capabilities and design."
187,3.54545454545455,4.0,3.45454545454545,2.90909090909091,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/187 - 11552349700046933676.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of calmness and satisfaction. The low-level features such as the clear sky, the well-maintained white SUV, the clean gravel driveway, and the natural surroundings contribute to a feeling of tranquility and order. The high-level features like the SUV's modern design, the spaciousness suggested by the ample parking space, and the overall aesthetic of the setting might evoke feelings of luxury, comfort, and a connection to nature. The image does not convey any negative emotions or thoughts; instead, it suggests a peaceful and pleasant environment."
062,3.0,2.72727272727273,3.0,2.45454545454545,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/062 - 10176558873609768636.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of modernity and sophistication due to the high-level features such as the sleek, contemporary design of the car and the stylish, colorful background. The low-level features, such as the precise detailing on the car's body, the clear headlights, and the well-designed wheels, contribute to the overall impression of quality and attention to detail. The car's design suggests it is a high-end model, which could evoke feelings of aspiration or desire for luxury. The use of vibrant colors in the background adds a dynamic and energetic feel to the image, enhancing the overall visual appeal."
357,3.4,2.7,3.2,3.1,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/357 - 1831264689315911820.jpeg,Bottom33Pct,0.0,"The person seeing the image might think and feel a sense of modernity and luxury. The low-level features such as the sleek design of the cars, the shiny surfaces, and the clear skies contribute to this feeling. The high-level features like the contemporary architecture of the building in the background, with its clean lines and geometric shapes, also enhance the perception of a modern and upscale environment."
132,5.90909090909091,5.72727272727273,5.18181818181818,4.27272727272727,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/132 - 10088731947309256513.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of modernity and sophistication due to the high-level features such as the sleek design and the advanced technology suggested by the car's appearance. The bright yellow color of the car could evoke feelings of happiness, energy, and optimism. Additionally, the car's positioning on a bridge with a cityscape in the background might make the viewer feel a sense of motion and progress, as if the car is ready to take on the challenges of the bustling city life."
attention1,4.18181818181818,4.54545454545455,4.45454545454545,3.72727272727273,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/named_images/attention/attention (1).png,Top33Pct,2.0,"A person seeing the image might think and feel a sense of admiration for the vehicle's design and the natural beauty of the surrounding landscape. The low-level features of the image, such as the clear blue sky, the well-maintained and clean car, and the vibrant green trees, contribute to a feeling of freshness and vitality. The high-level features, such as the car's sleek and modern design, the sense of motion captured in the image, and the serene and picturesque setting, might evoke feelings of freedom, adventure, and tranquility. The combination of these elements could lead the viewer to appreciate the harmony between technology and nature, and the potential for sustainable and environmentally friendly transportation."
